"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
household_over_80,covid19_patient_survey,,text,"Número de personas en el hogar de 80 años o mayores de 80 años de edad ",,,integer,0,100,,"[household_interaction_ages(8)] = '1'",y,,,,,
residence_type,covid19_patient_survey,,radio,"¿Cuál es el tipo de residencia en la que vives? 
","1, Dormitorio | 2, Casa de cuidados especiales | 3, Apartmento | 4, Casa | 5, Otra",,,,,,,y,,11,,,
residence_other,covid19_patient_survey,,text,"Describe por favor ""Otra"" en el tipo de residencia",,,,,,,"[residence_type] = '5'",y,,,,,
patient_address,covid19_patient_survey,,notes,"¿Cuál es tu dirección? (para propósitos de geo-localización únicamente)
",,,,,,,,y,,12,,,
page2of4,covid19_patient_survey,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><h3>Preguntas relacionadas con COVID-19</h3></div></div>",descriptive,"<div class=""rich-text-field-label""><h3>Página 2 de 4</h3></div>",,,,,,,,,,,,,
diagnosed,covid19_patient_survey,,radio,"¿Has sido diagnosticado con COVID-19?","1, Si | 0, No",,,,,,,y,,16,,,
testing_done,covid19_patient_survey,,radio,"¿Te han hecho la prueba del COVID-19?","1, Si | 0, No",,,,,,,y,,17,,,
testing_location,covid19_patient_survey,,radio,"¿Dónde te hicieron la prueba del COVID-19?","1, Clínica or laboratorio / estación de autos | 2, Emergencias | 3, Otro",,,,,,"[testing_done] = '1'",y,,,,,
other_test_location,covid19_patient_survey,,text,"Explica ""Otro"" en el lugar de prueba anterior ",,,,,,,"[testing_location] = '3'",,,,,,
symptoms_tested,covid19_patient_survey,,radio,"¿Tenías síntomas cuando te hicieron la prueba? ","1, Si | 0, No",,,,,,"[testing_done] = '1'",y,,,,,
no_symptom_testing,covid19_patient_survey,,radio,"¿Razón por la que te hicieron la prueba?","1, Trabajador de la salud/Personal de Emergencias | 2, Familiar susceptible en casa | 3, Otro",,,,,,"[symptoms_tested] = '0'",y,,,,,
other_testing_reason,covid19_patient_survey,,text,"¿Cuá es la ""Otra"" razón por la que te hicieron la prueba?
",,,,,,,"[no_symptom_testing] = '3'",y,,,,,
symptoms,covid19_patient_survey,,checkbox,"Describe tus síntomas de COVID-19 (escoge todos los que apliquen)","0, Ninguno | 1, Tos | 2, Garganta irritada | 3, Fiebre > 100.4 Farenheit | 4, Escalofríos | 5, Dolor de cabeza | 6, Pérdida parcial del sentido del olfato  (anosmia parcial) | 7, Pérdida total del sentido del olfato (anosmia) | 8, Pérdida parcial del sentido del gusto (ageusia parcial) | 9, Pérdida total del sentido del gusto (ageusia) | 10, Problemas al respirar | 11, Fatiga / letargo | 12, Dolor muscular | 13, Mucosidad nasal | 14, Diarrea (3 o más suelto de lo normal en 24 horas) | 15, Náusea o vómito | 16, Labios morados/face | 17, Confusión mental | 18, Presión el el pecho / dolor en el pecho | 19, Conjuntivitis ligera o ojos irritados | 20, Otro",,,,,,,y,,18,,," @NONEOFTHEABOVE=0"
symptoms_cough,covid19_patient_survey,,text,"¿Cuántos días con tos? (si lo recuerdas) ",,,integer,0,100,,"[symptoms(1)] = '1'",,,,,,
symptoms_cough_type,covid19_patient_survey,,radio,"Describe el tipo de  tos ","1, Seca | 2, Con flema",,,,,,"[symptoms(1)] = '1'",y,,,,,
symptoms_sore_throat,covid19_patient_survey,,text,"¿Cuántos dias con la garganta irritada? (Si lo recuerdas)",,,integer,1,100,,"[symptoms(2)] = '1'",,,,,,
symptoms_fever_days,covid19_patient_survey,,text,"¿Cuántos dias con fiebre > 100.4 F? (Si lo recuerdas)",,,integer,1,100,,"[symptoms(3)] = '1'",,,,,,
symptoms_fever_max,covid19_patient_survey,,text,"¿Cuánto fue el máximo de fiebre que registraste? 
",,,number,100,110,,"[symptoms(3)] = '1'",y,,,,,
symptoms_other,covid19_patient_survey,,notes,"Describe tu selección de ""Otro"" en los síntomas de COVID-19 
",,,,,,,"[symptoms(20)] = '1'",y,,,,,
first_symptom_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha de la aparición de tu primer síntoma. Por favor selecciona la fecha. </span></p></div>",,,,,,,"datediff ([date_first_symptom], ""today"", ""d"",""mdy"", true)<0",,,,,,
date_first_symptom,covid19_patient_survey,,text,"Fecha de tu primer síntoma",,,date_mdy,2019-01-12,,,"[symptoms(1)] = '1' or [symptoms(2)] = '1' or [symptoms(3)] = '1' or [symptoms(4)] = '1' or [symptoms(5)] = '1' or [symptoms(6)] = '1' or [symptoms(7)] = '1' or [symptoms(8)] = '1' or [symptoms(9)] = '1' or [symptoms(10)] = '1' or [symptoms(11)] = '1' or [symptoms(13)] = '1' or [symptoms(14)] = '1' or [symptoms(17)] = '1' or [symptoms(18)] = '1' or [symptoms(19)] = '1' or [symptoms(20)] = '1'",,,,,,
symptom_resolution_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha de en que se resolvió tu primer síntoma? Selecciona la fecha</span></p></div>",,,,,,,"datediff ([date_symptom_resolution], ""today"", ""d"",""mdy"", true)<0",,,,,,
date_symptom_resolution,covid19_patient_survey,,text,"Fecha de en que se resolvió el primer síntoma (si se sabe)
",,,date_mdy,2019-01-12,,,"[symptoms(1)] = '1' or [symptoms(2)] = '1' or [symptoms(3)] = '1' or [symptoms(4)] = '1' or [symptoms(5)] = '1' or [symptoms(6)] = '1' or [symptoms(7)] = '1' or [symptoms(8)] = '1' or [symptoms(9)] = '1' or [symptoms(10)] = '1' or [symptoms(11)] = '1' or [symptoms(13)] = '1' or [symptoms(14)] = '1' or [symptoms(17)] = '1' or [symptoms(18)] = '1' or [symptoms(19)] = '1' or [symptoms(20)] = '1'",,,,,,
traveled,covid19_patient_survey,,radio,"¿Estuvo en el extranjero justo antes de enfermarse / ser expuesto o sospechoso de la infección COVID-19?
","1, Si | 0, No",,,,,,,y,,19,,,
travel_country,covid19_patient_survey,,text,"¿A qué país viajó? ",,,,,,,"[traveled] = '1'",y,,,,,
travel_start_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha que inició su viaje. Seleccione la fecha</span></p></div>",,,,,,,"datediff ([travel_start_date], ""today"", ""d"",""mdy"", true)<0",,,,,,
travel_start_date,covid19_patient_survey,,text,"Fecha en que inició su viaje
",,,date_mdy,,,,"[traveled] = '1'",,,,,,
travel_end_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha en que finalizó su viaje. Seleccione la fecha </span></p></div>",,,,,,,"datediff ([travel_end_date], ""today"", ""d"",""mdy"", true)<0",,,,,,
travel_end_date,covid19_patient_survey,,text,"Fecha del final del viaje",,,date_mdy,,,,"[traveled] = '1'",,,,,,
exposure_known,covid19_patient_survey,,radio,"¿Estuvo expuesto(a) con alguien confirmado o sospechoso de COVID-19?
","1, Si; confirmado | 2, Si; sospechoso | 3, No | 4, No estoy seguro(a)",,,,,,,y,,20,,,
exposure_location,covid19_patient_survey,,radio,"¿Sucedió ésto en casa, en el trabajo o en otro lugar? 
","1, Casa | 2, Trabajo | 3, Otro lugar",,,,,,"[exposure_known] = '1' or [exposure_known] = '2'",y,,,,,
medication_treatment,covid19_patient_survey,,dropdown,"¿Tuvo algún tratamiento médico para su enfermedad COVID-19?
","1, Si | 0, No",,,,,,"[diagnosed] = '1'",y,,,,,
medications_used,covid19_patient_survey,,checkbox,"¿Sabe usted si sus doctores usaron alguno de los medicamentos a continuación para tratar su enfermedad COVID-19? (Seleccione todas las opciones que aplican)
 ","1, AINEs (ibuprofeno, aspirina, naproxeno, celecoxib, diclofenaco, indomethacin, piroxicam) | 2, Acetaminofén (Tylenol) | 3, Corticosteroides (prednisona, metylprednisolona, dexametasona, hidrocortisona) | 4, IL-6 inhibidores receptores (sarilumab, tocilizumab, siltuximab) | 5, JAK inhibidores receptores (baricitinib, ruxolitinib, fedratinib, tofacitinib) | 6, Remdesivir (GS-5735) or algún otro inhibidor de proteasa | 7, Tamiflu (oseltamivir) or Xofluza (baloxavir marboxil) | 8, Cloroquina or Hidroxicloroquina | 9, Sofosbuvir | 10, Ribavirin | 11, Interferon Alpha | 12, Otro | 13, No lo sé | 14, Prefiero no contestar",,,,,,"[medication_treatment] = '1'",y,,,,," @NONEOFTHEABOVE=14"
medications_used_other,covid19_patient_survey,,notes,"¿Qué otro medicamento(s) usó su doctor para tratar su enfermedad COVID-19?
",,,,,,,"[medications_used(12)] = '1'",y,,,,,
page3of4,covid19_patient_survey,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><h3>Preguntas de Salud General</h3></div></div>",descriptive,"<div class=""rich-text-field-label""><h3>Página 3 de 4</h3></div>",,,,,,,,,,,,,
rate_general_health,covid19_patient_survey,,radio,"¿Cómo calificaría su estado de salud general?","1, Excelente | 2, Bueno | 3, Regular | 4, Pobre",,,,,,,y,,21,,,
social_profile,covid19_patient_survey,,radio,"Describa su nivel de interacción con otras personas cuando no se estaba bajo la órden de ""quédate en casa"" y/o la de mantener la sana distancia ","1, Salidas muy frequentes (4-7 veces por semana) | 2, Salidas a veces (2-3 veces por semana) | 3, Casi no salía  (1 o menos veces por semana)",,,,,,,y,,22,,,
practicing_distancing,covid19_patient_survey,,radio,"¿Cómo calificaría su seguimiento a las recomendaciones del CDC de mantener la sana distancia en escala del 1-5? (1 es no seguir las recommendaciones, 5 es seguir todas las recomendaciones)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,y,RH,23,,,
start_distance_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha en que usted empezó a implementar la medida de sana distancia. Seleccione la fecha </span></p></div>",,,,,,,"datediff ([start_distancing], ""today"", ""d"",""mdy"", true)<0",,,,,,
start_distancing,covid19_patient_survey,,text,"¿Cuándo empezó a implementar la medida de sana distancia?",,,date_mdy,,,,"[practicing_distancing] > 1",y,,,,,
diseases_list,covid19_patient_survey,,checkbox,"¿Su médico o algún otro trabajador de la salud le han indicado que tiene alguna de la enfermedades en la lista? (Seleccione todas las que aplican)
","1, Enfermedad pulmonar | 2, Enfermedad del corazón | 3, Hipertensión/ Alta presión | 4, Hiperlipidemia / Hipercolestrolemia | 5, Anemia | 6, Enfermedades del hígado | 7, Diabetes | 8, Obesidad | 9, Enfermedad de las articulaciones (reumatismo) | 10, Síndrome del colon irritable | 11, Cáncer | 12, Fibrosis cística | 13, Enfermedad renal crónica | 14, Enfermedad neurológica | 15, Demencia | 16, Otra | 17, Ninguna de las anteriores",,,,,,,y,,24,,," @NONEOFTHEABOVE=17"
lung_disease,covid19_patient_survey,,radio,"¿Qué tipo de enfermedad pulmonar?","1, Asma | 2, Enfermedad pulmonar obstructiva crónica (EPOC) | 3, Fibrosis pulmonar idiopática | 4, Bronquiectasia | 5, Deficiencia Alfa-1 antitripsina Alpha-1 antitrypsin deficency | 6, Otra enfermedad pulmonar",,,,,,"[diseases_list(1)] = '1'",y,,,,,
another_lung_disease,covid19_patient_survey,,text,"Indica cuál es la ""Otra"" enfermedad pulmonar que te fue diagnosticada",,,,,,,"[lung_disease] = '6'",y,,,,,
heart_disease_type,covid19_patient_survey,,checkbox,"¿Qué tipo de enfermedad cardiaca tiene? (Selecciona todas las que apliquen)
","1, Cardiopatía congénita | 2, Enfermedad de la arteria coronaria/ historia de infarto de miocardio | 3, Insuficiencia cardíaca congestiva | 4, Otra",,,,,,"[diseases_list(2)] = '1'",y,,,,,
heart_disease_type_other,covid19_patient_survey,,text,"Indica el ""Otro"" tipo de enfermedad cardiaca",,,,,,,"[heart_disease_type(4)] = '1'",,,,,,
diabetes_type,covid19_patient_survey,,radio,"Tipo de diabetes","1, Tipo 1 | 2, Tipo 2",,,,,,"[diseases_list(7)] = '1'",y,,,,,
arthritis_type,covid19_patient_survey,,radio,"¿Qué tipo de enfermedad articular?","1, Artritis reumatoide | 2, Osteoartritis | 3, Otra",,,,,,"[diseases_list(9)] = '1'",y,,,,,
joint_disease_other,covid19_patient_survey,,text,"Indica cuál ""Otro"" tipo de enfermedad articular",,,,,,,"[arthritis_type] = '3'",y,,,,,
cancer_type,covid19_patient_survey,,checkbox,"Tipo de cáncer","1, Cáncer en el ano | 2, Cáncer de la vejiga | 3, Cáncer de mama | 4, Cáncer cerebral | 5, Cáncer cervical | 6, Cáncer de colon | 7, Cáncer en el esófago | 8, Cáncer en la vesícula | 9, Cáncer de cabeza y cuello, cualquier lugar (Nariz, boca, lengua, garganta) | 10, Cáncer renal (tambien conocido com carcinoma celular renal) | 11, Leucemia -  Leucemia linfocítica aguda (LLA) | 12, Leucemia - Leucemia mielógina crónica (LMC) | 13, Cáncer del hígado (También más conocida como carcinoma hepatocelular) | 14, Cáncer del pulmón | 15, Linfoma (Hodgkins o no-Hodgkins) | 16, Melanoma | 17, Cáncer de piel no-melanoma (cánceres de células basales o escamosas) | 18, Mieloma múltiple | 19, Cáncer en el ovario | 20, Cáncer de páncreas | 21, Cáncer de Próstata | 22, Sarcoma | 23, Cáncer del estómago (También conocido como Cáncer gástrico) | 24, Cáncer testicular | 25, Cáncer de la tiroides | 26, Cáncer uterino (también conocido como cáncera endometrial) | 27, Un cáncer no listado arriba",,,,,,"[diseases_list(11)] = '1'",y,,,,,
other_cancer_type,covid19_patient_survey,,text,"Indique el tipo de cáncer que no fue listado arriba",,,,,,,"[cancer_type(27)] = '1'",,,,,,
cancer_treatment,covid19_patient_survey,,checkbox,"Tratmientos contra el cáncer recibidos","1, Medicinas | 2, Radiación | 3, Inmunoterapia",,,,,,"[diseases_list(11)] = '1'",,,,,,
past_cancer_treatment,covid19_patient_survey,,text,"¿Cuánto tiempo hace que el cáncer fue tratado?",,,,,,,"[cancer_treatment(1)] = '1' or [cancer_treatment(2)] = '1' or [cancer_treatment(3)] = '1'",y,,,,,
dialysis,covid19_patient_survey,,radio,"¿Está actualmente recibiendo diálisis para enfermedad crónica renal? ","1, Si | 0, No",,,,,,"[diseases_list(13)] = '1'",y,,,,,
neurological_type,covid19_patient_survey,,radio,"¿Qué tipo de enfermedad neurológica?","1, Esclerosis amiotrópica lateral (ALS) | 2, Esclerosis múltiple | 3, Parkinson's | 4, Huntington's | 5, Otra",,,,,,"[diseases_list(14)] = '1'",y,,,,,
neurological_type_other,covid19_patient_survey,,text,"¿Qué ""Otro"" tipo de enfermedad neurológica? 
",,,,,,,"[neurological_type] = '5'",y,,,,,
other_disease,covid19_patient_survey,,notes,"Indique cualquier ""Otra"" enfermedad crónica que le haya sido diagnosticada",,,,,,,"[diseases_list(16)] = '1'",y,,,,,
organ_transplant_hx,covid19_patient_survey,,radio,"¿Ha tenido algún transplante de órgano?","1, Si | 0, No",,,,,,,y,,25,,,
organ_transplant,covid19_patient_survey,,text,"¿Cuál órgano?",,,,,,,"[organ_transplant_hx] = '1'",y,,,,,
immune_related_conditions,covid19_patient_survey,,checkbox,"¿Ha sido alguna vez diagnosticado con una enfermedad del sistema inmune?","1, Enfermedad autoinmune | 2, Enfermedad inflamatoria | 3, Fiebre periódica/frequente | 4, Inmunodeficiencia | 5, Fuegos recurrentes o infecciones virales de la piel | 6, Alergias de temporada/Fiebre del heno | 7, Alergia a alimentos | 8, Fuegos bucales | 9, Herpes | 10, Eczema | 11, Urticaria | 12, Ninguna de las anteriores",,,,,,,y,,26,,," @NONEOFTHEABOVE=12"
autoimmune_dx,covid19_patient_survey,,checkbox,"¿Qué condición autoinmune le ha sido diagnosticada? 
","1, Tiroides | 2, Lupus | 3, Esclerosis múltiple | 4, Citopenia | 5, Colitis/Enfermedad del intestino inflamado | 6, Otra",,,,,,"[immune_related_conditions(1)] = '1'",y,,,,,
other_autoimmune_dx,covid19_patient_survey,,text,"¿Que ""Otra"" condición autoinmune le ha sido diagnosticada?",,,,,,,"[autoimmune_dx(6)] = '1'",y,,,,,
inflammatory_dx,covid19_patient_survey,,text,"¿Qué condición inflamatoria le ha sido diagnosticada?",,,,,,,"[immune_related_conditions(2)] = '1'",y,,,,,
meds_taken,covid19_patient_survey,,checkbox,"¿Estás tomando alguna(o) de los siguientes medicamentos (al menos una vez a la semana)? (Selecciona los medicamentos que aplican) 
","1, Medicamentos Antiinflamatorios No Esteroides AINES (aspirina, celecoxib, diclofenaco (Cambia, Cataflam, Voltaren), diflunisal, etodolac, ibuprofeno (Motrin, Advil), indometacina (Indocin), ketoprofen, ketorolac, nambumetone, naproxeno (Aleve, Anaprox, Naprelan, Naprosyn), oxaprozin (Daypro), piroxicam (Feldene), salsalate (Disalate), sulidnac, tolmetin) | 2, Acetaminofen (Benadryl, Excedrin, Robitussin, Sinutab, Sudafed, Tylenol, Vicks y otros) | 3, Medicamentos para Asma  (broncodilatador Ventolin, albuterol) | 4, Corticosteroides(no inhalados), Prednisone | 5, Corticosteroides inhalados | 6, Broncodilatadores Inhalados | 7, Medicina para dolor de nervios, Gabapetin | 8, Medicamento diabético, Metformin | 9, Medicamentos Anti-TNF (infliximab, adalimumab, certolizumab, golimumab, etanercept, otros) | 10, Adelgazadores de sangre (Eliquis, Xarelto, Coumadin, Warfarin, etc.) | 11, Inhibidores de la ECAInhibidores de la ECA para el tratamento de hipertensión (Benazepril, Captopril, Fosinopril, Lisinopril, etc.) | 12, Estatinas para bajar colesterol (como atorvastatin or simvastatin) | 13, Bloqueantes de los receptores de la Angiotensina para hipertensión  (Edarbi, Atacand, Eprosartan, Avapro, etc.) | 14, Inhibidores JAK (Baricitinib, ruxolitinib, fedratinib, tofacitinib) | 15, Hydroxycloroquina | 16, Inhibidores de la vía de IL-6 (sarilumab,tocilizumab, siltuximab, otros) | 17, Medicamento tiroideo levotiroxina | 18, Beta-blocker para bajar la presión arterial (metoprolol, atenolol, tramadol, ...) | 19, Otra (prescritos/ no-prescritos/vitaminas o suplementos) | 20, Ninguno en la lista arriba",,,,,,,y,,27,,," @NONEOFTHEABOVE=20"
nsaids_daily,covid19_patient_survey,,radio,"¿Toma diariamente agentes no-esteroides convencionales (AINEs)? ","1, Si | 0, No",,,,,,"[meds_taken(1)] = '1'",y,,,,,
nsaids_as_prescribed,covid19_patient_survey,,radio,"¿Toma las agentes no-esteroides convencionales (AINEs) como están en la receta médica?","1, Si | 0, No",,,,,,"[meds_taken(1)] = '1'",y,,,,,
nsaids_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis toma diariamente de agentes no-esteroides convencionales (AINEs)?",,,,,,,"[meds_taken(1)] = '1'",,,,,,
acetamin_daily,covid19_patient_survey,,radio,"¿Toma acetaminofen (Benadryl, Excedrin, Robitussin, Sinutab, Sudafed, Tylenol, Vicks, y otros) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(2)] = '1'",y,,,,,
acetamin_as_prescribed,covid19_patient_survey,,dropdown,"¿Toma el acetaminofen como está indicado?","1, Si | 0, No",,,,,,"[meds_taken(2)] = '1'",y,,,,,
acetamin_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de acetaminofen toma diariamente? ",,,,,,,"[meds_taken(2)] = '1'",,,,,,
asthma_meds_daily,covid19_patient_survey,,radio,"¿Toma medicamentos para asma diariamente?","1, Si | 0, No",,,,,,"[meds_taken(3)] = '1'",y,,,,,
asthma_meds_as_prescribed,covid19_patient_survey,,radio,"¿Toma medicamentos para el asma como están indicados? ","1, Si | 0, No",,,,,,"[meds_taken(3)] = '1'",y,,,,,
asthma_meds_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de asma toma diariamente?",,,,,,,"[meds_taken(3)] = '1'",,,,,,
cortico_daily,covid19_patient_survey,,radio,"¿Toma corticosteroides diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(4)] = '1'",y,,,,,
cortico_as_prescribed,covid19_patient_survey,,radio,"¿Toma corticosteroides como están indicados? ","1, Si | 0, No",,,,,,"[meds_taken(4)] = '1'",y,,,,,
cortico_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de corticosteroides toma diario? ",,,,,,,"[meds_taken(4)] = '1'",,,,,,
inh_cortico_daily,covid19_patient_survey,,radio,"¿Toma corticosteroides inhalados diario? ","1, Si | 0, No",,,,,,"[meds_taken(5)] = '1'",y,,,,,
inh_cortico_as_prescribed,covid19_patient_survey,,radio,"¿Toma corticosteroides inhalados como están indicados? ","1, Si | 0, No",,,,,,"[meds_taken(5)] = '1'",y,,,,,
inh_cortico_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de corticosteroides inhalados toma diariamente?",,,,,,,"[meds_taken(5)] = '1'",,,,,,
dilators_daily,covid19_patient_survey,,radio,"¿Toma broncodilatadores inhalados diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(6)] = '1'",y,,,,,
dilators_as_prescribed,covid19_patient_survey,,radio,"¿Toma broncodilatadores inhalados como están indicados? ","1, Si | 0, No",,,,,,"[meds_taken(6)] = '1'",y,,,,,
dilators_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de broncodilatadores inhalados diario? ",,,,,,,"[meds_taken(6)] = '1'",,,,,,
nerve_med_daily,covid19_patient_survey,,radio,"¿Toma medicamento para dolor de nervios (Gabapetin) diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(7)] = '1'",y,,,,,
nerve_med_as_prescribed,covid19_patient_survey,,radio,"¿Toma medicamento para dolor de nervios (Gabapetin) como está indicado? ","1, Si | 0, No",,,,,,"[meds_taken(7)] = '1'",y,,,,,
nerve_med_num_doses,covid19_patient_survey,,text,"¿Cuantas dosis de medicamento para dolor de nervious (Gabapetin) toma diariamente? ",,,,,,,"[meds_taken(7)] = '1'",,,,,,
diabetic_daily,covid19_patient_survey,,radio,"¿Toma medicamento para la diabetes (Metformin) diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(8)] = '1'",y,,,,,
diabetic_as_prescribed,covid19_patient_survey,,radio,"¿Toma medicamento para la diabetes como está indicado? ","1, Si | 0, No",,,,,,"[meds_taken(8)] = '1'",y,,,,,
diabetic_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de medicina para la diabetes (Metformin) diariamente? ",,,,,,,"[meds_taken(8)] = '1'",,,,,,
anti_tnf_daily,covid19_patient_survey,,radio,"¿Toma medicamentos anti-TNF (infliximab, adalimumab, certolizumab, golimumab, etanercept, otros) diariamente? 
","1, Si | 0, No",,,,,,"[meds_taken(9)] = '1'",y,,,,,
anti_tnf_as_prescribed,covid19_patient_survey,,radio,"¿Toma los medicamentos anti-TNF conventionales (infliximab, adalimumab, certolizumab, golimumab, etanercept, others) como está indicado?","1, Si | 0, No",,,,,,"[meds_taken(9)] = '1'",y,,,,,
